PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=14.5 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=22.5 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=44.3 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=43.4 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=46.9 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=25.3 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=33.6 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=40.9 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=44.6 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=48.7 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=27.0 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=33.5 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=38.0 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=37.3 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=47.2 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=42.3 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=43.5 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=46.7 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=40.8 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=39.3 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=43.0 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=48.8 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=48.8 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=35.5 ms
